Book_ID,Title,Author,Genre,SubGenre,Publisher,Language,Pages,Publication_Year,Rating,Votes,Price,ISBN,Description,Cover_Image
62,The Emerald Code 62,Author 50,Self Help,Medieval,Publisher 25,French,132,2023,1.0,26615,1708,6255759205491,"A compelling self help novel by Author 50 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
63,The Silent River 63,Author 92,Programming,Cozy,Publisher 8,Urdu,599,2013,3.1,25421,402,5195187039322,"A compelling programming novel by Author 92 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
64,The Dark Empire 64,Author 44,Programming,AI,Publisher 9,Spanish,653,2000,3.7,34309,863,3777086916420,"A compelling programming novel by Author 44 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
65,The Infinite Future 65,Author 126,Finance,Productivity,Publisher 30,Urdu,822,1984,4.1,30677,487,0537743517986,"A compelling finance novel by Author 126 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
66,The Lost Journey 66,Author 5,Romance,Productivity,Publisher 18,English,787,1981,4.9,18114,682,2210281092028,"A compelling romance novel by Author 5 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
67,The Bright Code 67,Author 145,Romance,Cyberpunk,Publisher 14,English,570,1994,3.1,965,243,6849754768180,"A compelling romance novel by Author 145 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
68,The Silent Future 68,Author 107,Technology,Cozy,Publisher 26,Spanish,780,1986,2.7,10807,873,1203296853448,"A compelling technology novel by Author 107 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
69,The Forgotten Secrets 69,Author 34,Philosophy,Contemporary,Publisher 20,Spanish,240,2020,2.3,3850,1543,7026827811044,"A compelling philosophy novel by Author 34 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
70,The Dark Dreams 70,Author 140,Romance,Psychological,Publisher 16,Urdu,494,1985,4.8,35135,1995,5893518072537,"A compelling romance novel by Author 140 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
71,The Forgotten River 71,Author 82,Thriller,Medieval,Publisher 27,Hindi,945,1994,3.1,807,1009,1543447807592,"A compelling thriller novel by Author 82 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
72,The Dark Empire 72,Author 140,Historical,Cyberpunk,Publisher 6,Spanish,615,1983,3.4,49168,1912,8894348907056,"A compelling historical novel by Author 140 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
73,The Silent Future 73,Author 93,Drama,Productivity,Publisher 3,English,613,2018,4.7,25840,879,0978816539207,"A compelling drama novel by Author 93 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
74,The Hidden Dreams 74,Author 75,Horror,Cyberpunk,Publisher 19,Hindi,182,1993,1.6,22609,830,9612208545512,"A compelling horror novel by Author 75 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
75,The Emerald Empire 75,Author 78,Business,Productivity,Publisher 16,Hindi,375,1987,3.1,39445,994,9984194917028,"A compelling business novel by Author 78 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
76,The Bright Code 76,Author 116,Thriller,Psychological,Publisher 7,Hindi,700,1998,1.3,13742,219,6876181309269,"A compelling thriller novel by Author 116 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
77,The Hidden Future 77,Author 6,Business,Cyberpunk,Publisher 28,English,397,2018,4.9,26048,540,1117122003747,"A compelling business novel by Author 6 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
78,The Silent Forest 78,Author 75,Biography,Cyberpunk,Publisher 16,English,131,2011,2.1,34199,526,4632610532474,"A compelling biography novel by Author 75 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
79,The Dark Legacy 79,Author 28,Poetry,Contemporary,Publisher 28,English,754,2018,1.8,34253,1509,5774750523166,"A compelling poetry novel by Author 28 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
80,The Dark Forest 80,Author 25,Fantasy,Gothic,Publisher 29,Urdu,897,1990,4.0,33811,352,0478097056558,"A compelling fantasy novel by Author 25 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
81,The Golden Mind 81,Author 97,Drama,AI,Publisher 18,Urdu,825,1998,3.4,38079,686,6615631918690,"A compelling drama novel by Author 97 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
82,The Bright Future 82,Author 138,Business,Psychological,Publisher 7,Hindi,413,1986,1.2,15980,1421,5412690453822,"A compelling business novel by Author 138 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
83,The Crimson Empire 83,Author 103,Historical,Medieval,Publisher 3,English,479,1983,3.3,31199,624,4842906291408,"A compelling historical novel by Author 103 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
84,The Silent Empire 84,Author 66,Finance,Cyberpunk,Publisher 12,French,541,2026,1.8,42579,1229,3988587494695,"A compelling finance novel by Author 66 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
85,The Golden Forest 85,Author 118,Science Fiction,Productivity,Publisher 26,French,451,2024,2.1,11604,365,5277442786051,"A compelling science fiction novel by Author 118 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
86,The Hidden Code 86,Author 32,Philosophy,Python,Publisher 11,Urdu,642,2010,1.3,37261,390,7303036619515,"A compelling philosophy novel by Author 32 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
87,The Silent Mind 87,Author 58,Horror,Python,Publisher 13,Spanish,582,2026,2.4,3330,986,1303959678238,"A compelling horror novel by Author 58 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
88,The Silent Legacy 88,Author 117,Thriller,Epic,Publisher 20,Spanish,755,2013,4.8,26843,1367,4120299049293,"A compelling thriller novel by Author 117 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
89,The Dark Forest 89,Author 125,Philosophy,Contemporary,Publisher 4,English,750,2016,4.8,48670,692,7304250477652,"A compelling philosophy novel by Author 125 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
90,The Hidden Dreams 90,Author 137,Young Adult,Psychological,Publisher 28,English,256,2004,2.4,31988,1955,3407140163319,"A compelling young adult novel by Author 137 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
91,The Emerald Secrets 91,Author 115,Romance,Medieval,Publisher 17,Spanish,858,2007,3.2,28997,498,0819811732026,"A compelling romance novel by Author 115 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
92,The Emerald River 92,Author 26,Drama,Epic,Publisher 19,Urdu,681,1984,4.2,22559,1091,2323377229052,"A compelling drama novel by Author 26 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
93,The Lost Forest 93,Author 12,Technology,Python,Publisher 20,French,782,1986,2.6,32000,1737,6386677228281,"A compelling technology novel by Author 12 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
94,The Dark Future 94,Author 57,Mystery,Medieval,Publisher 7,French,406,1997,2.6,29196,809,8140269706698,"A compelling mystery novel by Author 57 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
95,The Emerald Journey 95,Author 96,Health,Productivity,Publisher 24,Spanish,707,2015,3.4,14050,1343,8661265338250,"A compelling health novel by Author 96 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
96,The Crimson Code 96,Author 19,Young Adult,Contemporary,Publisher 14,Urdu,500,2012,4.5,16174,1338,5805786719986,"A compelling young adult novel by Author 19 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
97,The Golden Dreams 97,Author 44,Mystery,Productivity,Publisher 23,English,510,1986,3.8,17027,668,1882767053780,"A compelling mystery novel by Author 44 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
98,The Lost Empire 98,Author 72,Mystery,AI,Publisher 29,Hindi,643,2002,1.4,24441,1391,5947676666319,"A compelling mystery novel by Author 72 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
99,The Lost Empire 99,Author 85,Mystery,Cyberpunk,Publisher 18,Urdu,896,2022,2.5,41232,1881,0509961080833,"A compelling mystery novel by Author 85 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
100,The Bright Mind 100,Author 18,Historical,Productivity,Publisher 29,Spanish,876,2005,1.9,12675,1400,0439153402427,"A compelling historical novel by Author 18 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
101,The Bright Secrets 101,Author 110,Adventure,Python,Publisher 12,Urdu,321,1992,1.7,15575,1541,9762278654141,"A compelling adventure novel by Author 110 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
102,The Forgotten Secrets 102,Author 103,Technology,Gothic,Publisher 16,Spanish,182,2007,3.8,44753,453,0748075211056,"A compelling technology novel by Author 103 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
103,The Silent Empire 103,Author 119,Young Adult,Productivity,Publisher 4,Spanish,915,2001,3.0,20555,836,7723645618270,"A compelling young adult novel by Author 119 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
104,The Silent Legacy 104,Author 80,Romance,Psychological,Publisher 8,English,809,2018,3.1,20288,1786,5861993947476,"A compelling romance novel by Author 80 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
105,The Bright Secrets 105,Author 123,Young Adult,Cozy,Publisher 16,Spanish,520,1992,1.4,35461,1226,8736348953692,"A compelling young adult novel by Author 123 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
106,The Golden Empire 106,Author 5,Thriller,AI,Publisher 16,Spanish,395,1997,3.5,20610,914,3990321011074,"A compelling thriller novel by Author 5 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
107,The Silent Future 107,Author 128,Romance,Cyberpunk,Publisher 23,French,872,1992,1.0,33676,1943,9326288587920,"A compelling romance novel by Author 128 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
108,The Forgotten Future 108,Author 13,Romance,AI,Publisher 4,Hindi,540,1988,3.1,32896,525,9391683751181,"A compelling romance novel by Author 13 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
109,The Forgotten Dreams 109,Author 86,Philosophy,Gothic,Publisher 19,Spanish,403,1996,2.0,10770,1511,8820799248226,"A compelling philosophy novel by Author 86 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
110,The Bright Secrets 110,Author 5,Biography,Cyberpunk,Publisher 13,French,586,2004,4.2,43022,1030,0557558281749,"A compelling biography novel by Author 5 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
111,The Emerald Legacy 111,Author 34,Programming,Cyberpunk,Publisher 4,French,296,2024,3.8,18284,1012,8360410592628,"A compelling programming novel by Author 34 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
112,The Dark Future 112,Author 42,Horror,Medieval,Publisher 10,Hindi,466,2008,2.2,30209,284,6079827816624,"A compelling horror novel by Author 42 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
113,The Lost Empire 113,Author 35,Young Adult,Medieval,Publisher 18,French,135,2002,3.9,37343,1520,0023856790008,"A compelling young adult novel by Author 35 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
114,The Forgotten Journey 114,Author 7,Biography,Cozy,Publisher 28,Spanish,473,2020,2.7,6633,213,0453296323068,"A compelling biography novel by Author 7 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
115,The Crimson Empire 115,Author 99,Programming,Python,Publisher 14,Urdu,188,2004,3.5,34821,345,6918802282608,"A compelling programming novel by Author 99 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
116,The Forgotten Secrets 116,Author 27,Philosophy,AI,Publisher 30,Spanish,839,1996,2.6,12476,1307,0256608696571,"A compelling philosophy novel by Author 27 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
117,The Hidden Future 117,Author 126,Horror,Psychological,Publisher 25,French,879,2018,4.1,35383,1411,6374381425695,"A compelling horror novel by Author 126 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
118,The Bright Mind 118,Author 143,Romance,Medieval,Publisher 26,Spanish,488,2014,1.2,26934,396,5713355613546,"A compelling romance novel by Author 143 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
119,The Golden Code 119,Author 84,Self Help,AI,Publisher 28,English,444,2015,2.6,44108,1588,2994077965282,"A compelling self help novel by Author 84 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
120,The Lost Forest 120,Author 50,Health,Epic,Publisher 8,French,910,2009,1.9,19383,498,5090208414861,"A compelling health novel by Author 50 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
121,The Silent Dreams 121,Author 74,Philosophy,Python,Publisher 14,Hindi,811,2015,4.4,18102,961,2229058086481,"A compelling philosophy novel by Author 74 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
122,The Bright Secrets 122,Author 121,Historical,Productivity,Publisher 1,Spanish,802,1982,3.3,938,913,7721148817380,"A compelling historical novel by Author 121 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
123,The Crimson Empire 123,Author 45,Romance,Epic,Publisher 12,Spanish,469,1985,1.4,27278,523,6532771556777,"A compelling romance novel by Author 45 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
124,The Bright Mind 124,Author 138,Biography,Epic,Publisher 13,French,786,1998,4.7,16772,829,8415946184635,"A compelling biography novel by Author 138 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
125,The Hidden Empire 125,Author 21,Philosophy,Gothic,Publisher 7,French,473,1991,3.7,23155,288,1484634560008,"A compelling philosophy novel by Author 21 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
